Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
ZAF,2017-04-01,2017-04-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7004,April,LCU,6265.000000,A
ZAF,2017-05-01,2017-05-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7005,May,LCU,6017.000000,A
ZAF,2017-06-01,2017-06-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7006,June,LCU,5975.000000,A
ZAF,2017-07-01,2017-07-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7007,July,LCU,6133.000000,A
ZAF,2017-08-01,2017-08-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7008,August,LCU,6621.000000,A
ZAF,2017-09-01,2017-09-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7009,September,LCU,6771.000000,A
ZAF,2017-10-01,2017-10-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7010,October,LCU,6674.000000,A
ZAF,2017-11-01,2017-11-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7011,November,LCU,6865.000000,A
ZAF,2017-12-01,2017-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7012,December,LCU,6972.000000,A
ZAF,2018-01-01,2018-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2018,2018,7021,Annual value,LCU,7227.000000,A
ZAF,2018-01-01,2018-01-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2018,2018,7001,January,LCU,7636.000000,A
ZAF,2018-02-01,2018-02-28,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2018,2018,7002,February,LCU,8042.000000,A
ZAF,2018-03-01,2018-03-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2018,2018,7003,March,LCU,6858.000000,A
ZAF,2018-04-01,2018-04-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2018,2018,7004,April,LCU,6547.000000,A
ZAF,2018-05-01,2018-05-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2018,2018,7005,May,LCU,6503.000000,A
ZAF,2018-06-01,2018-06-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2018,2018,7006,June,LCU,6613.000000,A
ZAF,2018-07-01,2018-07-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2018,2018,7007,July,LCU,6487.000000,A
ZAF,2018-08-01,2018-08-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2018,2018,7008,August,LCU,6844.000000,A
ZAF,2018-09-01,2018-09-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2018,2018,7009,September,LCU,7373.000000,A
ZAF,2018-10-01,2018-10-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2018,2018,7010,October,LCU,7812.000000,A
ZAF,2018-11-01,2018-11-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2018,2018,7011,November,LCU,8259.000000,A
ZAF,2018-12-01,2018-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2018,2018,7012,December,LCU,8599.000000,A
ZAF,2019-01-01,2019-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2019,2019,7021,Annual value,LCU,7595.000000,A
ZAF,2019-01-01,2019-01-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2019,2019,7001,January,LCU,9976.000000,A
ZAF,2019-02-01,2019-02-28,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2019,2019,7002,February,LCU,9083.000000,A
ZAF,2019-03-01,2019-03-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2019,2019,7003,March,LCU,7525.000000,A
ZAF,2019-04-01,2019-04-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2019,2019,7004,April,LCU,6935.000000,A
ZAF,2019-05-01,2019-05-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2019,2019,7005,May,LCU,6694.000000,A
ZAF,2019-06-01,2019-06-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2019,2019,7006,June,LCU,6653.000000,A
ZAF,2019-07-01,2019-07-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2019,2019,7007,July,LCU,6733.000000,A
ZAF,2019-08-01,2019-08-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2019,2019,7008,August,LCU,7097.000000,A
ZAF,2019-09-01,2019-09-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2019,2019,7009,September,LCU,7480.000000,A
ZAF,2019-10-01,2019-10-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2019,2019,7010,October,LCU,7792.000000,A
ZAF,2019-11-01,2019-11-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2019,2019,7011,November,LCU,8275.000000,A
ZAF,2019-12-01,2019-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2019,2019,7012,December,LCU,8569.000000,A
ZAF,2020-01-01,2020-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2020,2020,7021,Annual value,LCU,7398.100000,A
